Details,Predict Type of finding,Type of finding
"SL, SE ไม่สามารถติดต่อกับ Work Requestor ได้",Unsafe Action,Unsafe Action
"FO, SL, Requestor ไม่ได้ลงชื่อตรวจวัดแก๊สตามมาตรการที่กำหนดใน PTW ทุกๆ 4 ชม.",Unsafe Action,Unsafe Action
"SL ไม่ได้ตรวจสอบมาตรการ JSA, Safe work cert. อย่างครบถ้วนตามจริง ",Unsafe Action,Unsafe Action
ไฟฉายที่นำเข้าไปใช้งานด้านใน Tank ไม่ใช่แบบ Explosion proof,Unsafe Condition,Unsafe Condition
นำ stand ที่มีขนาดเล็กและสูงมาใช้ยืนทาสี เสี่ยงต่อการเสียหลักล้ม,Unsafe Condition,Unsafe Condition
HOT-LH-002 ตัวหนังสือ JSA มีขนาดเล็ก อ่านไม่ออก,Unsafe Action,Unsafe Action
ไม่มีถาดรองน้ำมันเครื่อง Generator,,Unsafe Condition
ใช้งานสลิงผ้าใบขาดชำรุด,,Unsafe Condition
แนบ JSA ไม่ตรงกับลักษณะงานที่ปฏิบัติ (งาน check excess แต่แนบ JSA งาน modify line air pump),Unsafe Action,Unsafe Action
ปิดล้อมพื้นที่ไม่เรียบร้อย มีแค่กรวยสี่อันวางรอบรถ load,Unsafe Action,Unsafe Condition
ลำเรียงแผ่นนั่งร้านไปวางโดยไม่ได้ผูกมัด มีโอกาสที่เหยียบหัวกระดานแล้วกระดกตกลงมาได้,Unsafe Condition,Unsafe Condition
ไม่สวมใส่ถุงมือขณะปฏิบัติงานยกขนย้ายอุปกรณ์ด้วยรถเฮี้ยบ,Unsafe Action,Unsafe Action
ไม่มี Blower/ Hole watch ด้านหน้า manhole ที่มีการขนย้าย sludge ออกมา,Unsafe Action,Unsafe Condition
สายไฟที่พาดผ่าน Manhole ไม่ได้ protect กันบาด,Unsafe Condition,Unsafe Condition
ใช้งาน pallet ไม้ที่มีสภาพชำรุดผุพัง,,Unsafe Condition
ทีมงานที่เก็บ slugge ด้านนอก tank ไม่ได้สวมใส่หน้ากาก R95,Unsafe Action,Unsafe Action
กระเช้าบรรจุเศษคอนกรีตไม่ได้ติดป้ายระบุ SWL,Unsafe Condition,Unsafe Condition
เติมน้ำมันเครื่อง Generator นอกเวลาที่กำหนด (เช้า-เย็น),Unsafe Action,Unsafe Action
Crane 120 tons ยืด boom เพื่อยกเศษ concrete ขณะที่ยืดเสร็จมี hydraulic oil leak ประมาณ 4 ลิตร ออกมาด้านท้ายรถ จึงให้ลด boom ลงพบว่าสาย hydraulic แตก,Near Miss,Near Miss
ไม่ได้แนบ JSA งาน load polymer (มีแต่ JSA งานยก),Unsafe Action,Unsafe Action
ต่อ ground ร่วมกับ ground plant,,Unsafe Condition
ไม่ได้ปิดล้อมพื้นที่จุดวาง Carbon activate ,Unsafe Condition,Unsafe Condition
ข้อต่อ line drain หลุด น้ำไหลเป็นทาง,Unsafe Condition,Near Miss
น้ำ condensate หยดลงพื้นสะสมจนเป็นคราบตะไคร่ อาจะลื่นหกล้มได้ (ปิดล้อมพื้นที่ชั่วคราวและรอดำเนินการทำความสะอาด),Unsafe Condition,Unsafe Condition
ปิดล้อมพื้นที่ไม่มีธงขาวแดง,Unsafe Condition,Unsafe Condition
ไม่ได้คำนวณ load chart สำหรับยกแผ่นรองรถ backhoe (ใช้ radiant เดียวกับรถ backhoe ไม่ได้),Unsafe Action,Unsafe Action
มีการตั้งนั่งร้าน hanging ขณะที่มีงานสกัดปูน ซึ่งมีการเดินไปมา (concern line of fire),Unsafe Condition,Unsafe Action
งานติดตั้งโพลีคาร์บอเนต ไม่มีเชือกคล้องเกี่ยวเครื่องมือที่นำไปใช้งาน,Unsafe Condition,Unsafe Condition
มีการติดตั้งนั่งร้านรอบ flare ไม่มีทางออก กรณีเกิดเหตุฉุกเฉิน (ติดตั้งป้ายทางออกและนั่งร้านพาดสำหรับทางออกฉุกเฉิน),Unsafe Condition,Unsafe Condition
คำนวณ ventilation flow ไม่ตรงกับหน้างาน,Unsafe Action,Unsafe Action
ช่องเปิดนั่งร้านด้านหน้า manhole,,Unsafe Condition
งานทาสี ผู้ปฏิบัติงานไม่สวมใส่หน้ากากป้องกันสารเคมี,Unsafe Action,Unsafe Action
สลิงผ้าใบไม่มีผ้ารองกันบาด,Unsafe Action,Unsafe Condition
modify ท่อไอเสียรถ backhoe ยึดลวดไม่แข็งแรง,Unsafe Condition,Unsafe Condition
ผู้ปฏิบัติงานยืนอยู่ใต้ boom crane (Line of fire) ขณะทำการยก valve ติดตั้ง,Unsafe Action,Unsafe Action
clamp นั่งร้านไม่ได้ล็อค ส่วนที่ค้ำยันนั่งร้าน มีโอกาสหลุดและตกลงมาได้,Unsafe Action,Unsafe Condition
ติดตั้งแผ่นกันตกมีช่องโหว่ขนาดใหญ่,Unsafe Condition,Unsafe Condition
ไม่มีอุปกรณ์ป้องกันเสียงดัง,,Unsafe Action
ไม่ได้แนบ deviation สำหรับการ sign work แยกของ Operation,Unsafe Action,Unsafe Action
ใช้งาน Harness ที่ยังไม่ได้ตรวจสอบ,,Unsafe Condition
งานเชื่อมติดตั้ง supportไม่มี Fire watch man ที่หน้างาน,Unsafe Action,Unsafe Action
ใช้ถุงมือผ้าปิดหุ้ม jacket insulation,Unsafe Action,Unsafe Action
งานขัดสี Line pipe ด้วยหินเจียรใบปัดหางเปีย ไม่ได้ปิดล้อมผ้ากันไฟ มีประกายไฟออกมา (Identify scope งานไม่ครอบคลุม (งานมีประกายไฟระบุเป็น HW II)),Unsafe Action,Unsafe Condition
Generator ไม่ได้ตรวจสอบ daily checklist ,Unsafe Action,Unsafe Condition
ไม่ได้ตรวจสอบตู้ control panel ก่อนเริ่มทำงาน,Unsafe Action,Unsafe Condition
SL ไม่อยู่ที่หน้างาน (แจ้งว่าออกไปซื้อของด้านนอก plant),Unsafe Condition,Unsafe Condition
ผู้ปฏิบัติงานไม่มีหน้ากาก R95 งานขนย้าย sludge,Unsafe Action,Unsafe Condition
"อุปกรณ์ blind flange และ nut, bolt วางอยู่บนจุดเสี่ยงต่อการตก",Unsafe Action,Unsafe Condition
HOT-HH-002 ใช้ Lifting plan version เก่า,Unsafe Action,Unsafe Action
Rigger ใส่เสื้อสะท้อนแสงสีน้ำเงิน,Unsafe Action,Unsafe Action
OLE2-LC-004 ใช้ Work at height certificate version เก่า,Unsafe Action,Unsafe Action
JSA งาน load chemical มีขนาดเล็ก,,Unsafe Action
ไม่มีถาดรองกระป๋องสี/ ผสมสี,,Unsafe Condition
