FindingNo,Area,SubArea,Contractor,TypeOfFinding,Topic,Finding,Details,TranslateDetails,Frequency,CleansingFinding,TranslateFinding
577,Ware house Site1,-,-,Unsafe Condition,-,ตรวจสอบพบ เอกสาร Certificate งานยกหมดอายุ เกิน 2 ปี (แนบเอกสารผิด),"Lifting Silencer ",Lifting Silencer,41,ตรวจสอบพบ เอกสาร certificate งานยกหมดอายุ เกิน ปีน แนบเอกสาร,Verify that the lifting work certificate has expired. Exceeded. Attach the document.
578,CPD Site1,-,-,Unsafe Condition,SL Performance,"ตรวจสอบพบผู้ปฏิบัติงานเชื่อมไม่สวมใส่ MASK ขณะปฏิบัติงานเชื่อม ","Welding Cutting Under Water ,Dryer Line E2","Welding Cutting Under Water ,Dryer Line E2",24,ตรวจสอบพบผู้ปฏิบัติงานเชื่อมไม่สวมใส่ mask ขณะปฏิบัติงานเชื่อม,Check that welding workers do not wear masks while working.
581,Catalyst&Pilot plant,-,-,Unsafe Condition,PPE,ตรวจสอบพบสภาพ Power Plug สายไฟอยู่ในสภาพที่อันตรายปอกสายหลุดออก Plug Grinder ไม่สวมใส่ Handle,Welding Cutting R1MK,Welding Cutting R1MK,1,"ตรวจสอบพบสภาพ power plug สายไฟอยู่ในสภาพที่อันตรายองค์สายหลุดออกplug under ไม่ สวมใส่ , let","Detect the power plug condition, the power cord is in a dangerous condition, the wire element is disconnected, plug under, do not wear, let"
583,PP3,-,-,Unsafe Condition,-,การตรวจสอบรายชื่อช่วงบ่ายไม่ได้ลงข้อมูล,ตั้งนั่งร้าน,set up scaffolding,1,ข้อมูลตรวจสอบรายชื่อช่วงบ่ายไม่ได้ลงข้อมูล,Afternoon list check information is not posted.
584,HDPE4,-,-,Unsafe Condition,-,เจ้าของพื้นที่ไม่ลงเลขsimple lock หน้างานมีการตัดแยกระบบไฟฟ้า,ล้างแอร์,clean the air conditioner,1,เจ้าของพื้นที่ไม่ลงเลขsimple lock หน้างานมีตัดแยกระบบไฟฟ้า,"The owner of the area does not enter the number, simple lock, there is a separate electrical system in front of the event."
585,HDPE4,-,-,Unsafe Condition,-,ประเมิน JSA ไม่ครอบคลุมเรื่องการใช้เครื่องตัดหญ้า ที่ใกล้กับจุดเก็บสารไวไฟ ไม่ได้ประเมินเรื่องการตรวจวัดแก็ส การระเบิด เพลิงไหม้,ตัดหญ้า,cut grass,11,"ประเมิน jsa ไม่ครอบคลุมเรื่องใช้เครื่องตัดหญ้า ที่ใกล้ , จุดเก็บสารไว้ไฟ ไม่ได้ประเมินเรื่องการตรวจวัดแก๊ส ระเบิด เพลิงไหม้","Assessment jsa does not cover the use of lawn mowers near, fire storage areas. Not assessing the measurement of gas, explosion, fire"
587,PP3,-,-,Unsafe Condition,Electrical & Grounding,ไม่ มีเอกสาร บันทึกผลการตรวจร่างกายผู้ปฏิบัติงานเบื้องต้นก่อนเริ่มทำงาน,ตั้งนั่งร้าน line br,set up scaffolding line br,22,ไม่ มีเอกสาร บันทึกผลร่างตรวจรางกายผู้ปฏิบัติงานเบื้องต้นก่อนเริ่มทำงาน,"There is no document, recording the results of the preliminary physical examination of the operators before starting work."
589,Catalyst&Pilot plant,-,-,Unsafe Condition,Hot Work,ตรวจสอบพบ Safe Work Certificate มีการตรวจสอบมาตราการเรียบร้อยแต่ ส่วนที่ 1 การขออนุญาต,Welding Cutting Spool/PIPE,Welding Cutting Spool/PIPE,10,ตรวจสอบพบ safe work certificate มีตรวจสอบมาตรายเรียบร้อยส่วนแต่ ที่การ การขออนุญาต,Safe work certificate found
591,PP1,-,-,Unsafe Condition,Electrical & Grounding,ตรวจสอบ Work Permit หัวข้อ 1.4 งานบนที่สูงไม่ทำการติ๊กข้อมูลให้ครบตามเอกสารแนบ,"Install Motor , Test Run","Install Motor , Test Run",57,ตรวจสอบ work permit หัวข้อ 1.4 งานบนที่สูงไม่ทำการติ๊กข้อมูลให้ครบตามเอกสารแนบ,"Check the work permit, section 1.4, work at height, do not tick all the information according to the attachment."
592,PP1,-,-,Unsafe Condition,Electrical & Grounding,"ตรวจสอบเอกสาร Safe Work Certificate พบไม่การลงข้อมูลในหัวข้อที่ 5 และ หัวข้อที่ 15 ","Install Motor , Test Run","Install Motor , Test Run",51,"ตรวจสอบเอกสาร safe work certificate พบไม่ ลงข้อมูลในหัวข้อที่ , หัวข้อที่","Check the safe work certificate document. No information is found in the topic, the topic."
593,PP1,-,-,Unsafe Condition,Electrical & Grounding,ตรวจสอบ JSA ไม่พบการประเมินความเสี่ยงการทำงานบนที่สูง,"Install Motor , Test Run","Install Motor , Test Run",44,ตรวจสอบ jsa ไม่พบการประเมินความเสี่ยงการทำงานบนที่สูง,"Check jsa, no work height risk assessment found."
594,CPD Pipe Site3,-,-,Unsafe Condition,Water jet,"พบอุปกรณ์ไม่ผ่านการตรวจสภาพ                 (สติ๊กเอกร์ "" สีเขียว "" เดือนกันยายน )","งานประกอบ Exchanger E-402A,E-403A              งานประกอบ E-402A,E-403A                                                                                                                ","Exchanger Assembly E-402A,E-403A Assembly E-402A,E-403A",4,พบอุปกรณ์ไม่ ตรวจสภาพ สติ๊กเอกกรณ์ สีเขียวเดือนกันย้าย,Device not found
598,CPD Pipe Site3,-,-,Unsafe Condition,Installation/ Alignment,พบผ้ากันไฟสภาพชำรุด,งานเชื่อมหน้าแปลน ท่อ HOS  ของ line Hot Oil  R-401,HOS pipe flange welding of line Hot Oil R-401,1,พบกันไฟสภาพชำรุด,Found a broken light.
599,Catalyst&Pilot plant,-,-,Unsafe Condition,Paint/ Coat/ Blast,"ตรวจสอบ Safe Work Certificate ขาดการตรวจสอบมาตราการและลงข้อมูลทั้งหมด ",ทาสี ขัดสนิม เก็บงานสี,"Paint, polish rust, keep the paint job",31,"ตรวจสอบ safe work certificate ขาดตราตรวจสอบมาตราย , ลงข้อมูลทั้งหมด","Check the safe work certificate, missing the check mark, enter all the information."
600,LLDPE,-,-,Unsafe Condition,-,ไม่นำ WORK มาปิด,GAติดตั้งแผ่นกั้น,GAInstall the baffle.,1,ไม่นำ work มาปิด,Don't bring work to close
