No.,Details,Area,SubArea,Contractor,TypeOfFinding,Topic,CleansingDetails,TransCleansingDetails
1532,งานขัดสนิมทาสีไม่มีถังดับเพลิง stand by,HOT,D-387,PROTECH,Unsafe Condition,Paint/ Coat/ Blast,"งานขัดสนิมทาสีไม่มีถังดับเพลิง st, by","Rust polishing work, paint, no fire extinguisher st, by"
1533,งานขัดสนิมทาสี ไม่ได้ลงค่าตรวจวัดแก๊สก่อนเริ่มงาน,HOT,D-387,PROTECH,Unsafe Action,PTW & JSA,งานขัดสนิมทาสี ไม่ได้ลงค่าตรวจวัดแก๊สก่อนเริ่มงาน,Paint polishing work Did not enter the gas test before starting work.
1534,ไม่ได้ปิดล้อมพื้นที่ขณะเตรียมงาน ขนย้ายอุปกรณ์,TFU,MH-2L-02,GPSC,Unsafe Condition,Lifting,ไม่ได้ปิดล้อมพื้นที่ขณะเตรียมงาน ขนย้ายอุปกรณ์,The area was not enclosed during the preparatory work. move equipment
1535,Barricade ล้อมรอบหลุมเปิด ไม่ใช่ Hard Barricade,TFU,MH-2L-02,GPSC,Unsafe Condition,CSE,barricade ล้อมรอบหลุมเปิด ไม่ใช่ hard barricade,"The barricade surrounds an open pit, not a hard barricade."
1536,ลังใส่อุปกรณ์เครื่องมือเป็นลังไม้,UT,PIT-3060,ตะวัน,Unsafe Condition,Tools & Equipment,ลังใส่อุปกรณ์เครื่องมือเป็นลังไม้,A crate of tools in a wooden crate
1537,Tag line ที่ใช้ control hopper มีระยะสั้น อาจทำให้เกิดการเหวี่ยงชนอุปกรณ์อื่นๆได้,Olefins2,R-520,HDS,Unsafe Condition,Lifting,tag line ที่ใช้ control hopper มีระยะสั้น อาจทำให้เกิดการเหวี่ยงชนอุปกรณ์อื่นๆได้,The tag line that uses the control hopper is short and may cause it to crash into other equipment.
1538,เครื่อง Vacuum ไม่มี Checklist ตรวจสภาพก่อนใช้งาน,Olefins2,R-520,HDS,Unsafe Condition,Tools & Equipment,เครื่อง vacuum ไม่มี checklist ตรวจสภาพก่อนใช้งาน,"The vacuum machine has no checklist, check the condition before use."
1539,ผู้ให้สัญญาณสวมเสื้อสะท้อนแสงสีเขียว,TFU,FT-6424,Flow Lab,Unsafe Action,Lifting,ผู้ให้สัญญาณสวมเสื้อสะท้อนแสงสีเขียว,The signal provider wears a green reflective vest.
1540,แผ่นรอง grating ไม่ cover รางระบายน้ำ,TFU,FT-6424,Flow Lab,Unsafe Condition,Lifting,แผ่นรอง grating ไม่ cover รางระบายน้ำ,The grating pad does not cover the drain.
1541,ผู้ช่วยประคองชิ้นงานตัดเชื่อมเจียร ไม่มี Face shield,TFU,NEGF,PROTECH,Unsafe Action,PPE,ผู้ช่วยประคองชิ้นงานตัดเชื่อมเจียร ไม่มี face shield,"Helper to support the workpiece, cutting, welding, grinding, no face shield"
1542,ประแจ เครื่องมือไม่มีเชือกผูก,Olefins2,PSV-360A,MYC,Unsafe Condition,Work at height,ประแจ เครื่องมือไม่มีเชือกผูก,"Wrench, no strings attached tool"
1543,ประเมิน JSA ไม่ครอบคลุม (ไม่มีงานเจาะสำหรับติดตั้ง Support),Olefins2,HV-S604A,REPCO (MES),Unsafe Action,PTW & JSA,ประเมิน jsa ไม่ครอบคลุม (ไม่มีงานเจาะสำหรับติดตั้ง support),Not comprehensive jsa evaluation (no drilling work for installing support)
1544,เอกสาร Lifting plan version เก่า,HOT,TK-259,MOC (OPE),Unsafe Action,PTW & JSA,เอกสาร lifting plan version เก่า,Document lifting plan old version
1545,ขึ้นเหยียบบันได A ชั้นบนสุด,OSBL,Command Room,APP,Unsafe Action,Work at height,ขึ้นเหยียบบันได a ชั้นบนสุด,step on the stairs a top floor
1546,เขม่าไอเสียเกาะตะแกรงครอบท่อไอเสีย Air compressor,UT,PIT-3060,ตะวัน,Unsafe Condition,Tools & Equipment,เขม่าไอเสียเกาะตะแกรงครอบท่อไอเสีย air compressor,Exhaust soot on the air compressor exhaust grille
1547,สาย Hose เครื่องสกัดคอนกรีตวางกีดขวางพื้นที่ปฏิบัติงาน,UT,PIT-3060,ตะวัน,Unsafe Condition,Housekeeping,สาย hose เครื่องสกัดคอนกรีตวางกีดขวางพื้นที่ปฏิบัติงาน,"Hose, concrete breaker blocking the working area"
1548,ผู้เฝ้าระวังไม่อยู่ที่ทางเข้า CSE,UT,C-2400I,VIPTEL,Unsafe Action,CSE,ผู้เฝ้าระวังไม่อยู่ที่ทางเข้า cse,The watchdog is not at the cse entrance.
1549,Rigger ไม่ใส่เสื้อสะท้อนแสง,UT,C-2400I,VIPTEL,Unsafe Action,Lifting,rigger ไม่ใส่เสื้อสะท้อนแสง,The rigger doesn't wear a reflective vest.
1550,Pallet ไม้มีสภาพชำรุด,UT,F-2400,Right Solution,Unsafe Condition,Housekeeping,pallet ไม้มีสภาพชำรุด,The wooden pallet is damaged.
1551,ไม่มี Checklist ตรวจสอบ Generator,UT,F-2400,Right Solution,Unsafe Condition,Tools & Equipment,ไม่มี checklist ตรวจสอบ generator,no checklist check generator
1552,สวมใส่อุปกรณ์ PPE ไม่เหมาะสมกับงาน,OSBL,Command Room,APP,Unsafe Action,PPE,"สวมใส่อุปกรณ์ ppe ไม่เหมาะสม, งาน","wear improper ppe equipment, work"
1553,ปิดล้อมพื้นที่ไม่ครอบคลุม ผูกกับอุปกรณ์ของ Plant,HOT,P-325A,WTM,Unsafe Condition,Scaffolding,"ปิดล้อมพื้นที่ไม่ครอบคลุม ผูก, อุปกรณ์ของ plant","enclosing uncovered areas, binding, equipment of plant"
1554,ไม่มีบันไดสำหรับยืนติดตั้ง/ แขวนรอก งานติดตั้งนั่งร้าน,HOT,P-325A,WTM,Unsafe Condition,Work at height,"ไม่มีบันไดสำหรับยืนติดตั้ง, แขวนรอก งานติดตั้งนั่งร้าน","No ladder for standing installation, hanging hoist for installation of scaffolding"
1555,ชื่อ Rigger ไม่ตรงกับที่ระบุใน WP และไม่มี Cert. ให้ตรวจสอบที่หน้างาน,HOT,D-203,REPCO (MES),Unsafe Action,PTW & JSA,"ชื่อ rigger ไม่ตรง, ที่ระบุใน wp , ไม่มี cert. ให้ตรวจสอบที่หน้างาน","The rigger name does not match, specified in wp , no cert. Check at the job site."
1556,เอกสาร Lifting plan version เก่า,HOT,TK-259,MOC (OPE),Unsafe Action,PTW & JSA,เอกสาร lifting plan version เก่า,Document lifting plan old version
1557,ไม่มีป้ายเตือนอันตรายงานรื้อถอนนั่งร้าน,HOT,D-940,PROTECH,Unsafe Condition,Scaffolding,ไม่มีป้ายเตือนอันตรายงานรื้อถอนนั่งร้าน,No warning signs for scaffolding demolition work
1558,"ผู้ให้สัญญาณไม่สวมเสื้อสะท้อนแสง, 4 ผู้ใส่เสื้อสะท้อนแสงสีน้ำเงิน",HOT,GTG,REPCO (MER),Unsafe Action,Lifting,"ผู้ให้สัญญาณไม่สวมเสื้อสะท้อนแสง , 4 ผู้ใส่เสื้อสะท้อนแสงสีน้ำเงิน","Signal carriers do not wear reflective vests, 4 wear blue reflective vests."
1559,เอกสาร Lifting plan version เก่า,ARU,Z-800,MOC (OPE),Unsafe Action,PTW & JSA,เอกสาร lifting plan version เก่า,Document lifting plan old version
1560,ประเมิน JSA ไม่ครอบคลุม (ระบุ Spec PPE ไม่ละเอียดตามความเสี่ยงของงาน),HOT,D-240,WTM,Unsafe Action,PTW & JSA,ประเมิน jsa ไม่ครอบคลุม (ระบุ spec ppe ไม่ละเอียดตามความเสี่ยงของงาน),Not comprehensive jsa assessment (spec ppe not detailed according to job risk)
